Country,Code,Date,Percent
India,IND,08-12-2020,7.429
India,IND,09-12-2020,7.571
India,IND,10-12-2020,7.857
India,IND,11-12-2020,7.857
India,IND,12-12-2020,7.714
India,IND,13-12-2020,7.571
India,IND,14-12-2020,7.286
India,IND,15-12-2020,9.286
India,IND,16-12-2020,9.143
India,IND,17-12-2020,9
India,IND,18-12-2020,9.143
India,IND,19-12-2020,9.286
India,IND,20-12-2020,9.429
India,IND,21-12-2020,9.857
India,IND,22-12-2020,9.571
India,IND,23-12-2020,9.857
India,IND,24-12-2020,10.714
India,IND,25-12-2020,11.143
India,IND,26-12-2020,10.571
India,IND,27-12-2020,9.857
India,IND,28-12-2020,9.714
India,IND,29-12-2020,9.714
India,IND,30-12-2020,9.571
India,IND,31-12-2020,10.429
India,IND,01-01-2021,9.714
India,IND,02-01-2021,10
India,IND,03-01-2021,10.143
India,IND,04-01-2021,10
India,IND,05-01-2021,9.714
India,IND,06-01-2021,9.571
India,IND,07-01-2021,8.286
India,IND,08-01-2021,8.857
India,IND,09-01-2021,9.429
India,IND,10-01-2021,10.429
India,IND,11-01-2021,11.143
India,IND,12-01-2021,12.143
India,IND,13-01-2021,12.857
India,IND,14-01-2021,10.429
India,IND,15-01-2021,8.143
India,IND,16-01-2021,6.143
India,IND,17-01-2021,4.286
India,IND,18-01-2021,2.857
India,IND,19-01-2021,1.286
India,IND,20-01-2021,-0.143
India,IND,21-01-2021,1.286
India,IND,22-01-2021,2.571
India,IND,23-01-2021,3.571
India,IND,24-01-2021,4.429
India,IND,25-01-2021,5.143
India,IND,26-01-2021,5.143
